Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_B04001_001,SE_B04001_002,SE_B04001_003,SE_B04001_004,SE_B04001_005,SE_B04001_006,SE_B04001_007,SE_B04001_008,SE_B04001_009,SE_B04001_010
"06037189202","Census Tract 1892.02, Los Angeles County, California","ACSSF","ca","140","00","0004640",,,,,"06","037",,,"189202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037189202","Census Tract 1892.02",,,,2829,2481,1900,52,0,308,0,0,221,348
"06037189300","Census Tract 1893, Los Angeles County, California","ACSSF","ca","140","00","0004641",,,,,"06","037",,,"189300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037189300","Census Tract 1893",,,,2805,2754,2238,66,23,267,0,78,82,51
"06037189400","Census Tract 1894, Los Angeles County, California","ACSSF","ca","140","00","0004642",,,,,"06","037",,,"189400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037189400","Census Tract 1894",,,,3135,2854,2152,306,0,146,0,0,250,281
"06037189501","Census Tract 1895.01, Los Angeles County, California","ACSSF","ca","140","00","0004643",,,,,"06","037",,,"189501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037189501","Census Tract 1895.01",,,,2293,2078,1788,188,0,71,0,24,7,215
"06037189502","Census Tract 1895.02, Los Angeles County, California","ACSSF","ca","140","00","0004644",,,,,"06","037",,,"189502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037189502","Census Tract 1895.02",,,,1948,1572,1089,97,0,194,8,70,114,376
"06037189600","Census Tract 1896, Los Angeles County, California","ACSSF","ca","140","00","0004645",,,,,"06","037",,,"189600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037189600","Census Tract 1896",,,,3752,3044,2579,81,16,127,0,31,210,708
"06037189702","Census Tract 1897.02, Los Angeles County, California","ACSSF","ca","140","00","0004646",,,,,"06","037",,,"189702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037189702","Census Tract 1897.02",,,,2121,1912,1654,112,0,34,0,7,105,209
"06037189703","Census Tract 1897.03, Los Angeles County, California","ACSSF","ca","140","00","0004647",,,,,"06","037",,,"189703",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037189703","Census Tract 1897.03",,,,1824,1676,1124,296,0,238,0,0,18,148
"06037189704","Census Tract 1897.04, Los Angeles County, California","ACSSF","ca","140","00","0004648",,,,,"06","037",,,"189704",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037189704","Census Tract 1897.04",,,,1257,1056,902,24,0,105,0,0,25,201
"06037189801","Census Tract 1898.01, Los Angeles County, California","ACSSF","ca","140","00","0004649",,,,,"06","037",,,"189801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037189801","Census Tract 1898.01",,,,1766,1606,1342,84,27,74,0,0,79,160
"06037189802","Census Tract 1898.02, Los Angeles County, California","ACSSF","ca","140","00","0004650",,,,,"06","037",,,"189802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037189802","Census Tract 1898.02",,,,1917,1658,1274,228,0,98,0,0,58,259
"06037189903","Census Tract 1899.03, Los Angeles County, California","ACSSF","ca","140","00","0004651",,,,,"06","037",,,"189903",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037189903","Census Tract 1899.03",,,,2209,1860,1496,70,0,232,0,0,62,349
"06037189904","Census Tract 1899.04, Los Angeles County, California","ACSSF","ca","140","00","0004652",,,,,"06","037",,,"189904",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037189904","Census Tract 1899.04",,,,2270,1769,1325,164,0,134,0,0,146,501
"06037189905","Census Tract 1899.05, Los Angeles County, California","ACSSF","ca","140","00","0004653",,,,,"06","037",,,"189905",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037189905","Census Tract 1899.05",,,,2508,1879,1582,122,0,97,0,7,71,629
"06037189906","Census Tract 1899.06, Los Angeles County, California","ACSSF","ca","140","00","0004654",,,,,"06","037",,,"189906",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037189906","Census Tract 1899.06",,,,2467,2207,1687,147,0,337,0,0,36,260
"06037189907","Census Tract 1899.07, Los Angeles County, California","ACSSF","ca","140","00","0004655",,,,,"06","037",,,"189907",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037189907","Census Tract 1899.07",,,,2416,1895,1427,92,0,290,0,24,62,521
"06037190101","Census Tract 1901.01, Los Angeles County, California","ACSSF","ca","140","00","0004656",,,,,"06","037",,,"190101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037190101","Census Tract 1901.01",,,,1659,1410,605,255,33,123,0,73,321,249
"06037190102","Census Tract 1901.02, Los Angeles County, California","ACSSF","ca","140","00","0004657",,,,,"06","037",,,"190102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037190102","Census Tract 1901.02",,,,2473,1854,1403,43,24,239,0,47,98,619
"06037190201","Census Tract 1902.01, Los Angeles County, California","ACSSF","ca","140","00","0004658",,,,,"06","037",,,"190201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037190201","Census Tract 1902.01",,,,2928,1702,1045,264,41,161,0,55,136,1226
"06037190202","Census Tract 1902.02, Los Angeles County, California","ACSSF","ca","140","00","0004659",,,,,"06","037",,,"190202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037190202","Census Tract 1902.02",,,,2988,2279,1287,519,0,323,0,47,103,709
"06037190302","Census Tract 1903.02, Los Angeles County, California","ACSSF","ca","140","00","0004660",,,,,"06","037",,,"190302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037190302","Census Tract 1903.02",,,,2811,2159,1377,126,0,493,0,42,121,652
"06037190303","Census Tract 1903.03, Los Angeles County, California","ACSSF","ca","140","00","0004661",,,,,"06","037",,,"190303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037190303","Census Tract 1903.03",,,,2608,2104,1580,267,8,133,0,31,85,504
